iter	Passed	Remaining
816	24448	5476
817	24476	5445
818	24505	5415
819	24535	5385
820	24565	5355
821	24595	5325
822	24626	5296
823	24655	5266
824	24687	5236
825	24716	5206
826	24746	5176
827	24775	5146
828	24804	5116
829	24834	5086
830	24863	5056
831	24892	5026
832	24922	4996
833	24951	4966
834	24981	4936
835	25009	4906
836	25039	4876
837	25068	4846
838	25098	4816
839	25128	4786
840	25157	4756
841	25187	4726
842	25217	4696
843	25247	4666
844	25277	4636
845	25306	4606
846	25335	4576
847	25364	4546
848	25392	4516
849	25420	4486
850	25448	4455
851	25478	4425
852	25508	4395
853	25537	4365
854	25565	4335
855	25594	4305
856	25623	4275
857	25652	4245
858	25682	4215
859	25713	4185
860	25743	4156
861	25774	4126
862	25802	4096
863	25830	4065
864	25858	4035
865	25888	4005
866	25919	3976
867	25948	3946
868	25979	3916
869	26009	3886
870	26038	3856
871	26067	3826
872	26098	3796
873	26128	3766
874	26157	3736
875	26185	3706
876	26215	3676
877	26242	3646
878	26272	3616
879	26302	3586
880	26331	3556
881	26361	3526
882	26389	3496
883	26418	3466
884	26446	3436
885	26477	3406
886	26508	3377
887	26541	3347
888	26571	3317
889	26603	3288
890	26634	3258
891	26665	3228
892	26695	3198
893	26726	3168
894	26756	3139
895	26786	3109
896	26816	3079
897	26845	3049
898	26874	3019
899	26906	2989
900	26937	2959
901	26967	2929
902	26997	2900
903	27026	2870
904	27054	2839
905	27084	2810
906	27115	2780
907	27144	2750
908	27176	2720
909	27207	2690
910	27237	2660
911	27267	2631
912	27295	2601
913	27325	2571
914	27356	2541
915	27385	2511
916	27415	2481
917	27444	2451
918	27473	2421
919	27502	2391
920	27531	2361
921	27559	2331
922	27588	2301
923	27619	2271
924	27647	2241
925	27677	2211
926	27706	2181
927	27735	2151
928	27763	2121
929	27792	2091
930	27821	2061
931	27851	2032
932	27879	2002
933	27911	1972
934	27942	1942
935	27972	1912
936	28002	1882
937	28031	1852
938	28060	1822
939	28091	1793
940	28121	1763
941	28153	1733
942	28184	1703
943	28215	1673
944	28244	1643
945	28275	1614
946	28304	1584
947	28331	1554
948	28359	1524
949	28388	1494
950	28419	1464
951	28448	1434
952	28477	1404
953	28506	1374
954	28536	1344
955	28567	1314
956	28595	1284
957	28626	1255
958	28656	1225
959	28684	1195
960	28713	1165
961	28743	1135
962	28774	1105
963	28803	1075
964	28833	1045
965	28861	1015
966	28891	985
967	28920	956
968	28951	926
969	28980	896
970	29008	866
971	29038	836
972	29068	806
973	29098	776
974	29127	746
975	29155	716
976	29184	687
977	29212	657
978	29242	627
979	29272	597
980	29301	567
981	29330	537
982	29361	507
983	29391	477
984	29421	448
985	29450	418
986	29479	388
987	29510	358
988	29539	328
989	29568	298
990	29596	268
991	29626	238
992	29655	209
993	29685	179
994	29716	149
995	29746	119
996	29775	89
997	29804	59
998	29833	29
999	29861	0
